Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9429895,My Sister Lives on the Mantelpiece,Annabel Pitcher,"Pitcher, Annabel",David Tennant,"=""1409132889""","=""9781409132882""",0,4.02,Orion Publishing Group,Audio CD,,2011,2011,,2015/09/27,to-read,to-read (#598),to-read,,,,,,,0,,,,,
21720,"Beyond Reach (Grant County, #6)",Karin Slaughter,"Slaughter, Karin",,"=""038533947X""","=""9780385339476""",0,4.18,Delacorte Press,Hardcover,404,2007,2007,,2015/09/23,to-read,to-read (#597),to-read,,,,,,,0,,,,,
21721,"A Faint Cold Fear (Grant County, #3)",Karin Slaughter,"Slaughter, Karin",,"=""0060534052""","=""9780060534059""",0,4.13,HarperTorch,Paperback,422,2004,2003,,2015/09/23,to-read,to-read (#596),to-read,,,,,,,0,,,,,
21719,"Kisscut (Grant County, #2)",Karin Slaughter,"Slaughter, Karin",,"=""0060534044""","=""9780060534042""",0,4.12,HarperTorch,Paperback,420,2003,2002,,2015/09/23,to-read,to-read (#595),to-read,,,,,,,0,,,,,
22928874,Rise of the Robots: Technology and the Threat of a Jobless Future,Martin Ford,"Ford, Martin",,"=""0465059996""","=""9780465059997""",0,4.03,Basic Books,Hardcover,352,2015,2015,,2015/09/23,"to-read, my-books","to-read (#594), my-books (#296)",to-read,,,,,,,0,,,,,
98233,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"Livingston, Jessica",,"=""1590597141""","=""9781590597149""",0,3.92,Apress,Hardcover,456,2007,2001,,2015/09/20,to-read,to-read (#593),to-read,,,,,,,0,,,,,
21413846,Wolf Winter,Cecilia Ekbäck,"Ekbäck, Cecilia",,"=""1602862524""","=""9781602862524""",0,3.78,Weinstein Books,Hardcover,376,2015,2014,,2015/09/17,to-read,to-read (#592),to-read,,,,,,,0,,,,,
22856128,The Mountain Story,Lori Lansens,"Lansens, Lori",,"=""0345809025""","=""9780345809025""",0,3.96,Knopf Canada,Hardcover,384,2015,2015,,2015/09/17,to-read,to-read (#591),to-read,,,,,,,0,,,,,
58128,Head First Design Patterns,Eric Freeman,"Freeman, Eric","Kathy Sierra, Bert Bates, Elisabeth Robson","=""0596007124""","=""9780596007126""",0,4.20,O'Reilly Media,Paperback,638,2004,2004,,2015/09/13,"to-read, my-books","to-read (#590), my-books (#293)",to-read,,,,,,,0,,,,,
374855,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553579908""","=""9780553579901""",0,4.39,Bantam,Mass Market Paperback,1009,2005,1998,,2015/09/12,"to-read, my-books","to-read (#587), my-books (#286)",to-read,,,,,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",0,4.06,Bantam,Mass Market Paperback,1060,2006,2005,,2015/09/12,"to-read, my-books","to-read (#588), my-books (#287)",to-read,,,,,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",0,4.54,Bantam,Mass Market Paperback,1177,2003,2000,,2015/09/12,"to-read, my-books","to-read (#589), my-books (#288)",to-read,,,,,,,0,,,,,
409207,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553573403""","=""9780553573404""",0,4.43,Bantam Spectra,Mass Market Paperback,835,1997,1996,,2015/09/12,"to-read, my-books","to-read (#587), my-books (#286)",to-read,,,,,,,0,,,,,
31242,Bleak House,Charles Dickens,"Dickens, Charles","Nicola Bradbury, Hablot Knight Browne","=""0143037617""","=""9780143037613""",0,3.98,Penguin Books,Paperback,1017,2006,1853,,2015/09/12,"my-books, to-read","my-books (#285), to-read (#586)",to-read,,,,,,,0,,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.08,Penguin ,Paperback,507,2003,1847,,2015/09/12,"my-books, to-read","my-books (#284), to-read (#585)",to-read,,,,,,,0,,,,,
136518,The Illiad & the Odyssey,Homer,"Homer, Homer",,"=""076071679X""","=""""",0,4.01,Sterling,Leather Bound,714,,-700,,2015/09/12,"my-books, to-read","my-books (#283), to-read (#584)",to-read,,,,,,,0,,,,,
153747,"Moby-Dick; or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",0,3.42,Penguin Classics,Paperback,663,2002,1851,,2015/09/12,"my-books, to-read","my-books (#282), to-read (#583)",to-read,,,,,,,0,,,,,
2623,Great Expectations,Charles Dickens,"Dickens, Charles",,"=""0192833596""","=""9780192833594""",0,3.72,"Oxford University Press, USA",Paperback,505,1998,1861,,2015/09/12,"my-books, to-read","my-books (#281), to-read (#582)",to-read,,,,,,,0,,,,,
56759,The Mayor of Casterbridge,Thomas Hardy,"Hardy, Thomas",Keith Wilson,"=""0141439785""","=""9780141439785""",0,3.77,Penguin Books Ltd,Paperback,445,2003,1886,,2015/09/12,"my-books, to-read","my-books (#280), to-read (#581)",to-read,,,,,,,0,,,,,
1133589,The Big Needle,Ken Follett,"Follett, Ken",,"=""0821719211""","=""9780821719213""",0,3.31,Zebra,Paperback,0,1982,1975,,2015/09/12,"my-books, to-read","my-books (#279), to-read (#580)",to-read,,,,,,,0,,,,,
415126,As I Lay Dying,William Faulkner,"Faulkner, William",Noel Polk,"=""0394747453""","=""9780394747453""",0,3.72,Vintage,Paperback,246,1991,1930,,2015/09/12,"my-books, to-read","my-books (#278), to-read (#579)",to-read,,,,,,,0,,,,,
6536651,Smiley's People,John le Carré,"Carré, John le",,"=""0553231499""","=""9780553231496""",0,4.22,Bantam Books,Mass Market Paperback,0,1982,1979,,2015/09/12,"my-books, to-read","my-books (#277), to-read (#578)",to-read,,,,,,,0,,,,,
1214507,Black Wind,F. Paul Wilson,"Wilson, F. Paul",,"=""0812527259""","=""9780812527254""",0,4.19,Tor Books,Mass Market Paperback,465,1989,1988,,2015/09/12,"my-books, to-read","my-books (#276), to-read (#577)",to-read,,,,,,,0,,,,,
546018,Roots: The Saga of an American Family,Alex Haley,"Haley, Alex",,"=""0440174643""","=""9780440174646""",0,4.40,Dell Publishing Company,Paperback,729,1980,1976,,2015/09/12,"my-books, to-read","my-books (#275), to-read (#576)",to-read,,,,,,,0,,,,,
1304509,"Making Things Right, When Things Go Wrong: Ten Proven Ways To Put Your Life In Order",Paul Faulkner,"Faulkner, Paul",,"=""0834401371""","=""9780834401372""",0,5.00,W Publishing Group,Hardcover,202,,,,2015/09/12,"my-books, to-read","my-books (#274), to-read (#575)",to-read,,,,,,,0,,,,,
13642916,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352153""","=""9780307352156""",0,4.01,Broadway Books,Paperback,352,2013,2012,,2015/09/12,"to-read, my-books","to-read (#573), my-books (#271)",to-read,,,,,,,0,,,,,
304482,Secrets and Lies: Digital Security in a Networked World,Bruce Schneier,"Schneier, Bruce",,"=""0471453803""","=""0723812595563""",0,3.95,John Wiley & Sons,Paperback,401,2004,2000,,2015/09/12,"my-books, to-read","my-books (#266), to-read (#572)",to-read,,,,,,,0,,,,,
226270,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""043936552X""","=""9780439365529""",0,3.94,"Scholastic, Inc.",Paperback,240,2000,2000,,2015/09/12,"my-books, to-read","my-books (#265), to-read (#571)",to-read,,,,,,,0,,,,,
65111,"The Grim Grotto (A Series of Unfortunate Events, #11)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410145""","=""9780064410144""",0,3.96,HarperCollins Publishers,Hardcover,323,2004,2004,,2015/09/12,"to-read, my-books","to-read (#570), my-books (#264)",to-read,,,,,,,0,,,,,
335131,"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,"Snicket, Lemony","Brett Helquist, Michael Kupperman","=""0064408655""","=""9780064408653""",0,3.91,HarperCollins Publishers,Hardcover,256,2001,2001,,2015/09/12,"to-read, my-books","to-read (#568), my-books (#262)",to-read,,,,,,,0,,,,,
254596,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,"Snicket, Lemony","Brett Helquist, Michael Kupperman","=""0064408663""","=""9780064408660""",0,3.93,HarperCollins Publishers,Hardcover,255,2001,2001,,2015/09/12,"to-read, my-books","to-read (#569), my-books (#263)",to-read,,,,,,,0,,,,,
297792,"The Slippery Slope (A Series of Unfortunate Events, #10)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410137""","=""9780064410137""",0,3.97,HarperCollins Publishers,Hardcover,337,2003,2003,,2015/09/12,"to-read, my-books","to-read (#567), my-books (#261)",to-read,,,,,,,0,,,,,
65110,"The Penultimate Peril (A Series of Unfortunate Events, #12)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410153""","=""9780064410151""",0,3.99,HarperCollinsPublishers,Hardcover,353,2005,2005,,2015/09/12,"to-read, my-books","to-read (#566), my-books (#260)",to-read,,,,,,,0,,,,,
1371863,"Twisted (Petra Connor, #2)",Jonathan Kellerman,"Kellerman, Jonathan",,"=""0345465253""","=""9780345465252""",0,3.80,Ballantine Books,Hardcover,372,2004,2004,,2015/09/12,"my-books, to-read","my-books (#259), to-read (#565)",to-read,,,,,,,0,,,,,
963597,Nine,Andrzej Stasiuk,"Stasiuk, Andrzej",Bill Johnston,"=""0151010641""","=""9780151010646""",0,2.96,Houghton Mifflin Harcourt,Hardcover,240,2007,1999,,2015/09/12,"to-read, my-books","to-read (#564), my-books (#258)",to-read,,,,,,,0,,,,,
726343,"The Story of General Dann and Mara's Daughter, Griot and the Snow Dog: A Novel",Doris Lessing,"Lessing, Doris",,"=""006053012X""","=""9780060530129""",0,3.48,Harper,Hardcover,288,2006,2005,,2015/09/12,"to-read, my-books","to-read (#563), my-books (#257)",to-read,,,,,,,0,,,,,
870950,"Rich Dad, Poor Dad: What the Rich Teach Their Kids about Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0964385619""","=""9780964385610""",0,3.81,"Techpress, Inc.",Paperback,184,2000,1998,,2015/09/12,"to-read, my-books","to-read (#562), my-books (#256)",to-read,,,,,,,0,,,,,
23316516,Move: Putting America's Infrastructure Back in the Lead,Rosabeth Moss Kanter,"Kanter, Rosabeth Moss",,"=""0393246809""","=""9780393246803""",0,3.59,W. W. Norton & Company,Hardcover,336,2015,2015,,2015/09/12,"to-read, my-books","to-read (#561), my-books (#255)",to-read,,,,,,,0,,,,,
2418107,"The Reapers (Charlie Parker, #7)",John Connolly,"Connolly, John",,"=""1416569529""","=""9781416569527""",0,4.00,Atria Books,Hardcover,351,2008,2008,,2015/09/12,"my-books, to-read","my-books (#254), to-read (#560)",to-read,,,,,,,0,,,,,
1070797,Thirteen Moons,Charles Frazier,"Frazier, Charles",,"=""0340826614""","=""9780340826614""",0,3.62,Sceptre,Hardcover,,2006,2006,,2015/09/12,"my-books, to-read","my-books (#251), to-read (#559)",to-read,,,,,,,0,,,,,
965455,The Summer of Katya,Trevanian,"Trevanian, Trevanian",,"=""0517548291""","=""9780517548295""",0,3.94,Crown Pub,Hardcover,242,1988,1983,,2015/09/12,"my-books, to-read","my-books (#250), to-read (#558)",to-read,,,,,,,0,,,,,
386221,"Promise Me (Myron Bolitar, #8)",Harlan Coben,"Coben, Harlan",,"=""0525949496""","=""9780525949497""",0,3.94,Dutton Adult,Hardcover,370,2006,2006,,2015/09/12,"to-read, my-books","to-read (#557), my-books (#249)",to-read,,,,,,,0,,,,,
2335136,The Old Curiosity Shop,Charles Dickens,"Dickens, Charles",,"=""0965057496""","=""9780965057493""",0,3.72,Book-of-the-Month Club,,732,1998,1841,,2015/09/12,"to-read, my-books","to-read (#556), my-books (#248)",to-read,,,,,,,0,,,,,
15154,"The Collectors (Camel Club, #2)",David Baldacci,"Baldacci, David",,"=""044653109X""","=""9780446531092""",0,3.98,Warner Books,Hardcover,438,2006,2006,,2015/09/12,"to-read, my-books","to-read (#553), my-books (#245)",to-read,,,,,,,0,,,,,
758899,"Dead Aim (Eve Duncan, 6)",Iris Johansen,"Johansen, Iris",,"=""0553802461""","=""9780553802467""",0,4.01,Bantam,Hardcover,280,2003,2002,,2015/09/12,"to-read, my-books","to-read (#554), my-books (#246)",to-read,,,,,,,0,,,,,
762511,"Memory in Death (In Death, #22)",J.D. Robb,"Robb, J.D.",,"=""0399153284""","=""9780399153280""",0,4.30,Putnam,Hardcover,337,2006,2006,,2015/09/12,"to-read, my-books","to-read (#555), my-books (#247)",to-read,,,,,,,0,,,,,
873199,Ready for Anything: 52 Productivity Principles for Work and Life,David Allen,"Allen, David",,"=""0670032506""","=""9780670032501""",0,3.75,Viking Adult,Hardcover,192,2003,2003,,2015/09/12,"to-read, my-books","to-read (#552), my-books (#244)",to-read,,,,,,,0,,,,,
1611977,Half Hours with the Best Thinkers,Frank J. Finamore,"Finamore, Frank J.",,"=""0517204320""","=""9780517204320""",0,3.50,Gramercy,Hardcover,320,1999,1999,,2015/09/12,"to-read, my-books","to-read (#551), my-books (#243)",to-read,,,,,,,0,,,,,
691532,"Chosen Prey (Lucas Davenport, #12)",John Sandford,"Sandford, John",,"=""0399147284""","=""9780399147289""",0,4.21,Putnam Adult,Hardcover,357,2001,2001,,2015/09/12,"to-read, my-books","to-read (#550), my-books (#242)",to-read,,,,,,,0,,,,,
823007,"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,"Cornwell, Patricia",,"=""0399150897""","=""9780399150890""",0,3.73,Putnam Adult,Hardcover,480,2003,2003,,2015/09/12,"to-read, my-books","to-read (#549), my-books (#241)",to-read,,,,,,,0,,,,,
1015020,Sam's Letters to Jennifer,James Patterson,"Patterson, James",,"=""0316710571""","=""9780316710572""",0,4.13,"Little, Brown and Company",Hardcover,272,2005,2001,,2015/09/12,"to-read, my-books","to-read (#548), my-books (#239)",to-read,,,,,,,0,,,,,
611776,The Best Damn Sales Book Ever: 16 Rock-Solid Rules for Achieving Sales Success!,Warren Greshes,"Greshes, Warren",,"=""0471757284""","=""9780471757283""",0,3.70,John Wiley & Sons,Hardcover,196,2006,2006,,2015/09/12,"to-read, my-books","to-read (#547), my-books (#238)",to-read,,,,,,,0,,,,,
1248410,"The Web (Alex Delaware, #10)",Jonathan Kellerman,"Kellerman, Jonathan",,"=""0553089218""","=""9780553089219""",0,3.67,Bantam,Hardcover,342,1996,1995,,2015/09/12,"to-read, my-books","to-read (#546), my-books (#236)",to-read,,,,,,,0,,,,,
1438712,The Jungle,Upton Sinclair,"Sinclair, Upton",,"=""1566195527""","=""9781566195522""",0,3.69,Barnes and Noble,Hardcover,373,1995,1905,,2015/09/12,"to-read, my-books","to-read (#545), my-books (#235)",to-read,,,,,,,0,,,,,
762063,"Origin in Death (In Death, #21)",J.D. Robb,"Robb, J.D.",,"=""039915289X""","=""9780399152894""",0,4.32,Putnam Adult,Hardcover,339,2005,2005,,2015/09/12,"to-read, my-books","to-read (#544), my-books (#234)",to-read,,,,,,,0,,,,,
74033,"Innocent in Death (In Death, #24)",J.D. Robb,"Robb, J.D.",,"=""0399154019""","=""9780399154010""",0,4.34,Putnam Adult,Hardcover,385,2007,2007,,2015/09/12,"to-read, my-books","to-read (#543), my-books (#233)",to-read,,,,,,,0,,,,,
748732,Portrait of a Killer: Jack the Ripper Case Closed,Patricia Cornwell,"Cornwell, Patricia",,"=""0399149325""","=""9780399149320""",0,3.44,G.P. Putnam's Sons,Hardcover,387,2002,2002,,2015/09/12,"to-read, my-books","to-read (#542), my-books (#232)",to-read,,,,,,,0,,,,,
1858934,"Visions in Death (In Death, #19)",J.D. Robb,"Robb, J.D.",,"=""0399151710""","=""9780399151712""",0,4.31,Putnam Adult,Hardcover,338,2004,2004,,2015/09/12,"to-read, my-books","to-read (#541), my-books (#231)",to-read,,,,,,,0,,,,,
74035,"Born in Death (In Death, #23)",J.D. Robb,"Robb, J.D.",,"=""0399153470""","=""9780399153471""",0,4.30,Putnam,Hardcover,288,2006,2006,,2015/09/12,"to-read, my-books","to-read (#540), my-books (#229)",to-read,,,,,,,0,,,,,
127219,"Obsession (Alex Delaware, #21)",Jonathan Kellerman,"Kellerman, Jonathan",,"=""0345452631""","=""9780345452634""",0,3.77,Ballantine Books,Hardcover,347,2007,2007,,2015/09/12,"to-read, my-books","to-read (#539), my-books (#228)",to-read,,,,,,,0,,,,,
441240,Dreamcatcher,Stephen King,"King, Stephen",,"=""0743211383""","=""9780743211383""",0,3.52,Scribner,Hardcover,620,2001,1999,,2015/09/12,"to-read, my-books","to-read (#538), my-books (#227)",to-read,,,,,,,0,,,,,
1517974,"How to Behave So Your Children Will, Too!",Sal Severe,"Severe, Sal",,"=""0965301206""","=""9780965301206""",0,3.87,Greentree Publishing (AZ),Hardcover,,,1997,,2015/09/12,"to-read, my-books","to-read (#537), my-books (#226)",to-read,,,,,,,0,,,,,
161414,"See You at the Top: Formerly Entitled Biscuits, Fleas, and Pump Handles",Zig Ziglar,"Ziglar, Zig",Al Mayton,"=""088289126X""","=""9780882891262""",0,4.23,Pelican Publishing Company,Hardcover,382,1976,1974,,2015/09/12,"to-read, my-books","to-read (#536), my-books (#225)",to-read,,,,,,,0,,,,,
753455,Because a Fire Was in My Head,Lynn Stegner,"Stegner, Lynn",,"=""0803211392""","=""9780803211391""",0,3.24,University of Nebraska Press,Hardcover,286,2007,2007,,2015/09/12,"to-read, my-books","to-read (#535), my-books (#224)",to-read,,,,,,,0,,,,,
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,"=""0385495323""","=""9780385495325""",0,4.25,Anchor,Paperback,366,2000,1999,,2015/09/12,"to-read, my-books","to-read (#534), my-books (#222)",to-read,,,,,,,0,,,,,
25707092,Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""0984782850""","=""9780984782857""",0,4.27,Careercup,Paperback,708,2015,2008,,2015/09/12,"to-read, my-books","to-read (#533), my-books (#219)",to-read,,,,,,,0,,,,,
2415153,Designing the Moment: Web Interface Design Concepts in Action,Robert Hoekman Jr.,"Jr., Robert Hoekman",,"=""0321535081""","=""9780321535085""",0,3.83,New Riders Publishing,Paperback,236,2008,2008,,2015/09/12,"to-read, my-books","to-read (#532), my-books (#218)",to-read,,,,,,,0,,,,,
8673846,"The Web Designer's Guide to iOS Apps: Create iPhone, iPod Touch, and iPad apps with Web Standards",Kristofer Layon,"Layon, Kristofer",,"=""0321732987""","=""9780321732989""",0,3.71,Peachpit,Paperback,288,2010,2010,,2015/09/12,"to-read, my-books","to-read (#530), my-books (#214)",to-read,,,,,,,0,,,,,
4565900,A Project Guide to UX Design: For User Experience Designers in the Field or in the Making,Russ Unger,"Unger, Russ",Carolyn Chandler,"=""0321607376""","=""9780321607379""",0,3.86,New Riders Publishing,Paperback,267,2009,2009,,2015/09/12,"to-read, my-books","to-read (#529), my-books (#210)",to-read,,,,,,,0,,,,,
6355182,Web Anatomy: Interaction Design Frameworks That Work,Robert Hoekman Jr.,"Jr., Robert Hoekman",Jared Spool,"=""0321635027""","=""9780321635020""",0,3.21,New Riders Publishing,Paperback,213,2009,2009,,2015/09/12,"to-read, my-books","to-read (#528), my-books (#209)",to-read,,,,,,,0,,,,,
1867,The Elements of User Experience: User-Centered Design for the Web,Jesse James Garrett,"Garrett, Jesse James",,"=""0735712026""","=""9780735712027""",0,3.97,Peachpit Press,Paperback,208,2002,2002,,2015/09/12,"to-read, my-books","to-read (#527), my-books (#208)",to-read,,,,,,,0,,,,,
1069809,"The Devil's Code (Kidd & LuEllen, #3)",John Sandford,"Sandford, John",,"=""0399146504""","=""9780399146503""",0,3.87,Putnam Adult,Hardcover,320,2000,2000,,2015/09/12,"to-read, my-books","to-read (#526), my-books (#206)",to-read,,,,,,,0,,,,,
1747282,"Dr. Death (Alex Delaware, #14)",Jonathan Kellerman,"Kellerman, Jonathan",,"=""0679459618""","=""9780679459613""",0,3.91,Random House USA Inc,Hardcover,354,2000,2000,,2015/09/12,"to-read, my-books","to-read (#525), my-books (#205)",to-read,,,,,,,0,,,,,
3063499,The Lucky One,Nicholas Sparks,"Sparks, Nicholas",,"=""0446579939""","=""9780446579933""",0,4.08,Grand Central Publishing,Hardcover,326,2009,2008,,2015/09/12,"to-read, my-books","to-read (#524), my-books (#204)",to-read,,,,,,,0,,,,,
1001146,The First Counsel,Brad Meltzer,"Meltzer, Brad",,"=""0446527289""","=""9780446527286""",0,3.87,Warner Books,Hardcover,367,2009,2001,,2015/09/12,"to-read, my-books","to-read (#523), my-books (#202)",to-read,,,,,,,0,,,,,
227442,Open House,Elizabeth Berg,"Berg, Elizabeth",,"=""0375506039""","=""9780375506031""",0,3.66,Random House,Hardcover,256,2000,2000,,2015/09/12,"to-read, my-books","to-read (#522), my-books (#199)",to-read,,,,,,,0,,,,,
85610,Capital Crimes,Jonathan Kellerman,"Kellerman, Jonathan",Faye Kellerman,"=""0345467981""","=""9780345467980""",0,3.42,Ballantine Books,Hardcover,294,2006,2006,,2015/09/12,"to-read, my-books","to-read (#521), my-books (#198)",to-read,,,,,,,0,,,,,
6791598,"Wrecked  (Regan Reilly Mysteries, #13)",Carol Higgins Clark,"Clark, Carol Higgins",,"=""1439170258""","=""9781439170250""",0,3.55,Scribner,Hardcover,261,2010,2010,,2015/09/12,"to-read, my-books","to-read (#520), my-books (#197)",to-read,,,,,,,0,,,,,
499638,Coercing Virtue: The Worldwide Rule of Judges,Robert H. Bork,"Bork, Robert H.",,"=""0844741620""","=""9780844741628""",0,3.57,AEI Press,Hardcover,176,2003,2002,,2015/09/12,"to-read, my-books","to-read (#519), my-books (#194)",to-read,,,,,,,0,,,,,
17934492,Nothing Personal: A Novel of Wall Street,Mike Offit,"Offit, Mike",,"=""1250035422""","=""9781250035424""",0,3.28,Thomas Dunne Books,Hardcover,352,2014,2014,,2015/09/12,"to-read, my-books","to-read (#518), my-books (#191)",to-read,,,,,,,0,,,,,
1942367,The Good German,Joseph Kanon,"Kanon, Joseph",,"=""0805064222""","=""9780805064223""",0,3.67,Henry Holt and Co.,Hardcover,512,2001,2001,,2015/09/12,"to-read, my-books","to-read (#517), my-books (#190)",to-read,,,,,,,0,,,,,
2986378,Black Earth: A Journey Through Russia After the Fall,Andrew Meier,"Meier, Andrew",,"=""0393051781""","=""9780393051780""",0,3.96,W. W. Norton & Company,Hardcover,511,2003,2003,,2015/09/12,"to-read, my-books","to-read (#516), my-books (#189)",to-read,,,,,,,0,,,,,
5204,We Were the Mulvaneys,Joyce Carol Oates,"Oates, Joyce Carol",,"=""0452282829""","=""9780452282827""",0,3.66,Plume,Paperback,454,1997,1996,,2015/09/12,"to-read, my-books","to-read (#515), my-books (#187)",to-read,,,,,,,0,,,,,
4769909,The Last Days of the Romanovs: Tragedy at Ekaterinburg,Helen Rappaport,"Rappaport, Helen",,"=""0312379765""","=""9780312379766""",0,4.02,St. Martin's Press,Hardcover,272,2009,2008,,2015/09/12,"to-read, my-books","to-read (#514), my-books (#186)",to-read,,,,,,,0,,,,,
